96,0 -146,0 -146,0 141,0 148,0 45,0 -123,0 56,0 1,0 64,0 -133,0 92,0 -18,0 80,0 -147,0 37,0 -131,0 51,0 1,0 44,0 -58,0 -16,0 -82,0 2,0 142,0 
-38,571689972526386 -90,27341999761038 -107,73048977879088 -36,94486742257207 -12,270890111458167 -16,27045129191542 59,7152683007813 -128,46877609756748 152,89115031335885 -145,77812133042502 64,38066483047308 -54,93297828631391 -78,53721637702402 93,53494796560872 202,9426245012927 -108,05919169441636 -16,608921033541417 -104,40103715685537 99,98025098337018 -46,03103127592264 152,63996350594044 -15,120918173060517 107,68352390184343 8,769889971909807 57,46171572542165 
59,775114677023204 -230,4589465269715 110,16971092287848 102,43007786179923 94,60733051942536 -93,12926269402332 -68,76943578329283 -94,28229092951123 135,43053335821335 17,73632948224635 -85,86981532196982 119,47056596963523 -15,991862628051257 6,22783597528289 -26,73274814321372 142,3936533357223 -156,15646732779416 -97,03552329899678 -12,758320146369533 57,10069546833734 -73,50438094701937 39,460067217197825 -32,58255040304993 -12,728395849736497 115,19808521223841 
59,775114677023204 -230,4589465269715 110,16971092287848 102,43007786179923 94,60733051942536 -93,12926269402332 -68,76943578329283 -94,28229092951123 135,43053335821335 17,73632948224635 -85,86981532196982 119,47056596963523 -15,991862628051257 6,22783597528289 -26,73274814321372 142,3936533357223 -156,15646732779416 -97,03552329899678 -12,758320146369533 57,10069546833734 -73,50438094701937 39,460067217197825 -32,58255040304993 -12,728395849736497 115,19808521223841 
68,92380795950747 -198,28456517470687 127,03139156873425 118,10719316842687 109,08715969036857 -80,12748316613651 -59,168532517804785 -124,13903539223406 156,1584302007736 -70,77883668265022 -56,6737281675739 80,10316623566341 -56,77873644510791 7,181017938368031 -23,00058826695072 169,95252810224227 -130,05350779006844 -83,48839059537185 -10,977130637393222 8,187470212027042 -63,24243182639907 45,49950442826724 -28,03369943460023 -15,253333903002433 109,76833049562133 
104,53744299034494 -237,54070145142379 57,9582256396326 131,14093069303735 179,65778888236133 -112,47714958346614 -48,979268349263215 34,45168488788181 134,1799197938981 -19,928247982696778 -89,19938841719383 -55,5341718495406 -88,01655235367046 17,2696641822984 -56,661313562495195 107,8342974157433 -97,98363158231409 18,700920508088124 -29,8263847092652 129,0395880181335 -100,02603356988976 -63,82715658878079 19,994469737075534 35,65114813880281 29,58391911270246 
113,7743990465877 -183,7158995973728 90,5821711460669 118,61855744765526 156,0246557952023 -120,9341924450552 -57,928485274056655 -104,79869721989948 147,08192313369855 -48,47753995954447 -82,77277886006407 24,952891378002754 -71,91486874004381 14,271855423654875 -28,434849572362868 148,57288976228398 -120,83604123790256 -6,528522837343798 -35,42231762258338 32,00503929685505 -99,42375614795779 -38,81205048581312 90,0446823249434 26,38649949644104 37,684435748608 
113,7743990465877 -183,71589959737284 90,5821711460669 118,61855744765526 156,0246557952023 -120,93419244505523 -57,92848527405667 -104,79869721989951 147,08192313369855 -48,47753995954449 -82,77277886006408 24,952891378002754 -71,91486874004383 14,271855423654875 -28,434849572362875 148,57288976228398 -120,83604123790259 -6,528522837343799 -35,422317622583385 32,00503929685505 -99,42375614795782 -38,812050485813124 90,0446823249434 26,38649949644104 37,684435748608 
113,7743990465877 -183,7158995973728 90,5821711460669 118,61855744765526 156,0246557952023 -120,93419244505522 -57,92848527405666 -104,7986972198995 147,08192313369855 -48,47753995954448 -82,77277886006407 24,952891378002754 -71,91486874004381 14,271855423654875 -28,43484957236287 148,57288976228398 -120,83604123790258 -6,5285228373437985 -35,42231762258338 32,00503929685505 -99,4237561479578 -38,81205048581312 90,0446823249434 26,38649949644104 37,684435748608 
131,07725758502264 -155,29727995474832 104,35794589485653 136,65811763649506 179,75295117935931 -102,22714082668172 -44,74109107159441 -130,85321777523947 169,45020396725636 -40,97865296968851 -69,9688347031215 28,747737611044347 -60,79051148053857 16,442325209000682 -108,56753734269853 113,56389636459654 -102,1441724198727 -5,518639600513086 -29,94291505817503 -15,211358713184337 -84,04410792152707 -49,71454016241674 46,1346944831385 30,3993694560921 43,415500613137915 
131,0772575850226 -155,29727995474832 104,35794589485651 136,65811763649504 179,7529511793593 -102,22714082668172 -44,74109107159441 -130,85321777523947 169,45020396725633 -40,97865296968851 -69,9688347031215 28,747737611044343 -60,79051148053857 16,44232520900068 -108,56753734269853 113,56389636459653 -102,1441724198727 -5,518639600513086 -29,94291505817503 -15,211358713184337 -84,04410792152707 -49,71454016241674 46,134694483138496 30,399369456092096 43,41550061313791 
131,0772575850226 -155,29727995474832 104,35794589485651 136,65811763649504 179,7529511793593 -102,22714082668172 -44,74109107159441 -130,85321777523947 169,45020396725633 -40,97865296968851 -69,9688347031215 28,747737611044343 -60,79051148053857 16,44232520900068 -108,56753734269853 113,56389636459653 -102,1441724198727 -5,518639600513086 -29,94291505817503 -15,211358713184337 -84,04410792152707 -49,71454016241674 46,134694483138496 30,399369456092096 43,41550061313791 
131,0772575850226 -155,29727995474832 104,35794589485651 136,65811763649504 179,7529511793593 -102,22714082668172 -44,74109107159441 -130,85321777523947 169,45020396725633 -40,97865296968851 -69,9688347031215 28,747737611044343 -60,79051148053857 16,44232520900068 -108,56753734269853 113,56389636459653 -102,1441724198727 -5,518639600513086 -29,94291505817503 -15,211358713184337 -84,04410792152707 -49,71454016241674 46,134694483138496 30,399369456092096 43,41550061313791 
